Fecha,Nubes,B02,B03,B04,B08,B05,B06,B07,B11,B12,B01,B09,Estacion
2019-03-18T11:34:05Z,0.03,2678,2950,3396,3476,2878,2837,2702,2629,2272,893,1767,4
2017-11-05T11:02:31Z,6.47,3287,4203,4252,4463,3354,3353,3209,3046,2364,1190,1835,4
2017-12-23T11:14:45Z,0,1317,1647,1903,1742,1607,1761,2050,1839,1608,508,1166,4
2018-01-29T11:03:06Z,0,1927,2657,3030,2654,2734,2713,2667,2697,2232,452,1246,4
2018-02-21T11:12:02Z,0.79,3319,3314,3668,3909,2717,3084,2473,2620,2172,753,1607,4
2019-01-12T11:19:58Z,0.91,1112,1448,1710,1802,2263,1942,2138,2081,1648,747,1394,4
2019-02-16T11:20:02Z,0,2250,2562,2890,2942,2925,2598,2985,2593,2117,835,1610,4
2018-07-08T11:02:15Z,0.1,2714,3205,3692,3874,4808,4432,4417,4303,3335,1724,2459,4
2018-07-23T11:05:18Z,0,3172,3676,4039,3835,4339,4423,4267,4065,2839,1557,2540,4
2017-10-26T11:07:17Z,0,2522,2829,3123,2719,3101,3224,3071,2647,2042,880,1315,4
2018-08-02T10:59:38Z,0,2710,3234,3764,3664,4074,4328,3908,3888,2856,1521,2579,4
2018-08-20T11:14:59Z,0,2344,3042,3488,3464,3383,3001,3086,3332,2451,1059,2237,4
2018-09-01T10:59:39Z,0,2348,2912,3042,3000,3828,4171,4189,3675,2769,1331,2329,4
2017-12-18T11:14:49Z,0.21,1494,1869,1933,2008,1949,2163,2147,1852,1442,522,962,4
2018-10-01T11:05:40Z,0,2448,3108,3331,3185,3437,3475,3258,3249,2327,1136,2049,4
2018-10-16T11:05:23Z,0.02,2072,2240,2624,2652,3140,2753,3267,3083,2355,947,1746,4
2019-03-13T11:36:26Z,0.36,2282,2590,2876,2946,3333,3338,3086,2976,2233,982,2026,4
2017-10-19T11:12:35Z,4.4,1914,2531,2565,2498,2959,2492,2495,2710,1927,939,1461,4
2018-07-06T11:09:18Z,3.4,3438,3964,4108,4168,4524,4145,3891,3862,2729,1533,2449,4
2017-05-19T11:05:30Z,0.27,3172,3724,3904,4024,3816,4178,4250,3964,3261,1831,2759,4
2017-06-18T11:04:15Z,1.46,3730,4548,4562,4884,4324,4033,4282,4283,3247,1668,2727,4
2018-07-31T11:14:37Z,0,2678,2902,3266,3460,3099,3553,3556,3152,2681,1290,2110,4
2017-07-21T11:07:58Z,0,3908,4402,4670,4503,4198,3616,3867,3610,2663,1614,2317,4
2017-08-20T11:12:20Z,0,2455,3063,3420,3312,3153,3197,3446,3508,2639,1384,1972,4
2019-03-15T11:22:34Z,0,3106,3804,3895,4094,3246,3758,3301,3176,2541,1011,1940,4
2017-10-29T11:11:56Z,0,2315,2822,3301,3050,2091,2241,2374,2564,1733,804,1414,4
2018-10-09T11:18:54Z,6.27,1592,1886,2246,2352,2830,2855,2602,2722,2337,980,1789,4
2018-01-27T11:13:22Z,7.1,1976,2289,2497,2598,2750,2489,2454,2401,1913,953,1221,4
2019-02-13T11:10:06Z,0,2746,3714,3906,3814,2734,3232,2708,2741,2096,814,1496,4
2019-01-09T11:10:02Z,0,1642,1902,1934,1868,2734,2046,2604,2072,1688,679,1300,4
2018-06-21T11:13:49Z,0,2718,3210,3614,3660,4067,3842,3634,3820,3085,1438,2461,4
2017-06-11T11:10:12Z,8.13,2645,3051,3287,3555,3055,3032,2925,3382,2726,1336,2201,4
2018-07-18T11:03:26Z,1.3,2830,3492,3846,4035,3684,4124,4010,4265,3229,1536,2553,4
2019-02-08T11:10:03Z,0,2170,2600,2770,2674,2965,2825,2612,2980,2394,787,1469,4
2017-08-17T11:05:25Z,0,2817,3380,3816,3905,4120,4389,3633,3907,3035,1327,2345,4
2018-08-15T11:18:26Z,0,2658,3356,3560,3694,3551,3706,3765,3572,2456,1295,2294,4
2018-08-30T11:14:49Z,0.18,2576,3144,3370,3626,3259,3395,3190,3104,2426,1055,2062,4
2019-02-11T11:19:59Z,8.31,1720,2198,2424,2386,2739,2653,2548,2459,1952,862,1591,4
2018-09-29T11:10:54Z,0.06,1616,1914,2232,2458,2695,2479,2663,2954,2431,936,1746,4
2018-02-18T11:05:29Z,4.18,2839,3690,3781,3515,2925,3697,3379,3050,2709,780,1680,4
2018-12-30T11:10:00Z,0,1232,1612,1888,1864,2514,2203,2781,2155,1712,815,1507,4
2017-10-16T11:03:13Z,0,1987,2622,2504,2794,3185,3132,2738,2854,2206,784,1450,4
2018-07-03T10:59:38Z,0.06,3750,3994,4216,4445,5113,4265,4843,4289,3091,1623,2493,4
2017-05-02T11:09:37Z,4.49,2873,3262,3436,3518,3493,3440,3066,3404,2583,1414,2220,4
2017-07-11T11:12:23Z,0,2838,3378,3599,3655,2994,2957,2962,3352,2672,1495,2280,4
2018-07-28T11:06:04Z,0,3422,3830,4264,4479,4308,4747,4434,4239,3156,1523,2367,4
2019-02-03T11:10:07Z,0.3,2230,2712,2928,3010,2834,2927,2990,2973,2284,764,1516,4
2018-08-27T11:06:38Z,0,2944,3804,4096,4236,3984,3871,3999,3999,3027,1292,2191,4
2019-02-08T11:10:03Z,0,2040,2622,2972,2299,2230,2681,2148,2882,2367,785,1527,4
2017-10-06T10:59:37Z,0.01,1858,2638,2502,2697,2865,2868,2899,3217,2578,995,1982,4
2018-10-06T11:00:30Z,9.38,1850,2244,2392,2724,2799,2962,3071,3200,2534,1052,1779,4
2018-01-22T11:13:42Z,6.21,2107,2689,2667,2672,2132,2730,2257,2225,1822,712,1086,4
2017-10-09T11:15:00Z,0,1778,2207,2467,2587,3024,2598,3091,2879,2108,970,1767,4
2019-01-07T11:20:01Z,0,2110,2436,2584,2776,1682,2204,1738,1879,1529,591,1162,4
